ENSP00000000233	ARF5	DOID:535	Sleep disorder	TIGA	MeanRankScore = 12	0.628
ENSP00000002829	SEMA3F	DOID:1094	Attention deficit hyperactivity disorder	TIGA	MeanRankScore = 81	1.726
ENSP00000002829	SEMA3F	DOID:14221	Abdominal obesity-metabolic syndrome 1	TIGA	MeanRankScore = 43	1.109
ENSP00000002829	SEMA3F	DOID:535	Sleep disorder	TIGA	MeanRankScore = 93	1.946
ENSP00000003084	CFTR	DOID:0050589	Inflammatory bowel disease	TIGA	MeanRankScore = 6	0.532
ENSP00000003084	CFTR	DOID:1094	Attention deficit hyperactivity disorder	TIGA	MeanRankScore = 70	1.550
ENSP00000003084	CFTR	DOID:114	Heart disease	TIGA	MeanRankScore = 39	1.056
ENSP00000003084	CFTR	DOID:1595	Endogenous depression	TIGA	MeanRankScore = 95	1.988
ENSP00000003084	CFTR	DOID:4914	Esophagus adenocarcinoma	TIGA	MeanRankScore = 68	1.522
ENSP00000003084	CFTR	DOID:8936	Plantar fascial fibromatosis	TIGA	MeanRankScore = 91	1.906
ENSP00000003084	CFTR	DOID:9206	Barrett's esophagus	TIGA	MeanRankScore = 49	1.214
ENSP00000003302	USP28	DOID:1094	Attention deficit hyperactivity disorder	TIGA	MeanRankScore = 54	1.279
ENSP00000004982	HSPB6	DOID:1184	Nephrotic syndrome	TIGA	MeanRankScore = 92	1.926
ENSP00000005260	BAIAP2L1	DOID:3459	Breast carcinoma	TIGA	MeanRankScore = 42	1.103
ENSP00000005340	DVL2	DOID:178	Vascular disease	TIGA	MeanRankScore = 6	0.533
ENSP00000005386	RPAP3	DOID:2841	Asthma	TIGA	MeanRankScore = 66	1.481
ENSP00000005587	SKAP2	DOID:8778	Crohn's disease	TIGA	MeanRankScore = 62	1.422
ENSP00000006015	HOXA11	DOID:10763	Hypertension	TIGA	MeanRankScore = 74	1.621
ENSP00000006015	HOXA11	DOID:10892	Hypospadias	TIGA	MeanRankScore = 65	1.464
ENSP00000006015	HOXA11	DOID:289	Endometriosis	TIGA	MeanRankScore = 58	1.346
ENSP00000006015	HOXA11	DOID:8577	Ulcerative colitis	TIGA	MeanRankScore = 9	0.587
ENSP00000007414	OSBPL7	DOID:1459	Hypothyroidism	TIGA	MeanRankScore = 28	0.885
ENSP00000007699	YBX2	DOID:1459	Hypothyroidism	TIGA	MeanRankScore = 73	1.604
ENSP00000007699	YBX2	DOID:178	Vascular disease	TIGA	MeanRankScore = 6	0.533
ENSP00000007699	YBX2	DOID:7188	Autoimmune thyroiditis	TIGA	MeanRankScore = 73	1.604
ENSP00000008391	TFAP2D	DOID:1094	Attention deficit hyperactivity disorder	TIGA	MeanRankScore = 90	1.888
ENSP00000008391	TFAP2D	DOID:9970	Obesity	TIGA	MeanRankScore = 68	1.513
ENSP00000008527	CRY1	DOID:0050211	Swine influenza	TIGA	MeanRankScore = 7	0.555
ENSP00000008527	CRY1	DOID:4450	Renal cell carcinoma	TIGA	MeanRankScore = 7	0.558
ENSP00000009041	STARD3NL	DOID:0080001	Bone disease	TIGA	MeanRankScore = 47	1.175
ENSP00000009041	STARD3NL	DOID:1405	Primary angle-closure glaucoma	TIGA	MeanRankScore = 81	1.737
ENSP00000009041	STARD3NL	DOID:8936	Plantar fascial fibromatosis	TIGA	MeanRankScore = 98	2.041
ENSP00000011292	CPA1	DOID:3083	Chronic obstructive pulmonary disease	TIGA	MeanRankScore = 27	0.855
